Marca,Serie,Modello,wp,vmp,imp,isc,voc,Ns,V/°C,A/°C,W/°C,Lung,Larg,Alt,Vul,Viec
EXE,"X-Line Poly 60",EXP-156-660-225,225,29.1,7.8,8.39,36.6,60,-0.11,0.0034,-0.95,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-230,230,29.5,7.92,8.5,36.8,60,-0.11,0.0034,-0.97,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-235,235,29.7,7.94,8.52,36.8,60,-0.11,0.0034,-0.99,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-240,240,30.25,7.98,8.55,37.2,60,-0.11,0.0034,-1.01,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-245,245,30.36,8.13,8.67,37.5,60,-0.11,0.0035,-1.03,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-250,250,30.7,8.18,8.71,37.8,60,-0.11,0.0035,-1.05,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-255,255,30.8,8.3,8.84,37.92,60,-0.11,0.0035,-1.07,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-260,260,30.92,8.43,9.01,38,60,-0.11,0.0036,-1.09,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-270,270,31.12,8.7,9.19,38.12,60,-0.11,0.0037,-1.13,1.65,0.99,0.04,1000,1000
EXE,"X-Line Poly 60",EXP-156-660-275,275,31.69,8.71,9.25,39.46,60,-0.12,0.0037,-1.16,1.65,0.99,0.04,1000,1000
BP,Q-Series,220W,220,29.3,7.51,7.93,36.5,60,-0.12,0.0028,-1.12,1.67,1,0.045,1000,1000
BP,Q-Series,225W,225,29.4,7.66,8.08,36.6,60,-0.12,0.0028,-1.15,1.67,1,0.045,1000,1000
BP,Q-Series,230W,230,29.5,7.82,8.25,36.7,60,-0.12,0.0029,-1.17,1.67,1,0.045,1000,1000
BP,Q-Series,235W,235,29.6,7.94,8.4,36.8,60,-0.13,0.0029,-1.2,1.67,1,0.045,1000,1000
invensun,Sundragon,i300-72P,300,37.5,7.99,8.55,45.7,72,-0.16,-0.0513,-1.35,1.96,0.99,0.05,600,600
S-Energy,"SN 72-Cell",SN300P-10/15,300,35.6,8.44,8.88,44.9,72,-0.3,-0.005,-0.9,1.97,0.99,0.04,1500,1500
S-Energy,"SN 72-Cell",SN305P-10/15,305,36,8.47,8.9,45.1,72,-0.3,-0.005,-0.92,1.97,0.99,0.04,1500,1500
S-Energy,"SN 72-Cell",SN310P-10/15,310,36.3,8.54,8.96,45.4,72,-0.3,-0.005,-0.93,1.97,0.99,0.04,1500,1500
S-Energy,"SN 72-Cell",SN315P-10/15,315,36.6,8.61,9.01,45.6,72,-0.3,-0.005,-0.95,1.97,0.99,0.04,1500,1500
"Q cells","Q Plus","L-G4.1 340",340,37.63,9.03,9.59,47.07,72,-0.14,0.0038,-1.36,1.99,1,0.035,1000,1500
Panasonic,HIT,VBHN285,285,52,5.49,5.91,63.5,88,-0.16,0.0018,-0.83,1.46,1.05,0.046,1000,1000
Sunpower,E-Serie,E19-310,310,54.7,5.67,6.05,64.4,96,-0.18,0.0035,-1.18,1.56,1.05,0.046,0,1000
Sunpower,E-Serie,E20-435,435,72.9,5.97,6.43,85.6,128,-0.24,0.0026,-1.52,2.07,1.05,0.046,1000,1000
Sunpower,E-Serie,E20-440,440,72.9,6.04,6.5,86.5,128,-0.24,0.0026,-1.54,2.07,1.05,0.046,1000,1000
Sunpower,"Serie Perfomance",SPR-P17-350-COM,350,43.1,8.12,8.65,51.7,1,-0.18,0.0036,-1.3,2.07,1,0.046,1500,1500
Sunpower,"Serie Perfomance",SPR-X21-335-BLK,335,57.3,5.85,6.23,67.9,96,-0.17,0.0029,-0.97,1.56,1.05,0.005,600,1000
Topsun,TS6S96,TS-S425,425,49.02,8.67,9.18,60.97,96,-0.22,-0.0009,-2,1.96,1.31,0.04,1000,1000
